"best_actor_year","best_actor_url","best_actor_name","best_actor_name_url","best_actor_film_name","best_actor_film_url"
"1999 (72nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=72&view=3-Award%20Category-Chron","Kevin Spacey","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8168&view=1-Nominee-Alpha","American Beauty","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3849&view=2-Film%20Title-Alpha"
"2000 (73rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=73&view=3-Award%20Category-Chron","Russell Crowe","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8287&view=1-Nominee-Alpha","Gladiator","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3908&view=2-Film%20Title-Alpha"
"2001 (74th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=74&view=3-Award%20Category-Chron","Denzel Washington","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8833&view=1-Nominee-Alpha","Training Day","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3792&view=2-Film%20Title-Alpha"
"2002 (75th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=75&view=3-Award%20Category-Chron","Adrien Brody","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8962&view=1-Nominee-Alpha","The Pianist","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3603&view=2-Film%20Title-Alpha"
"2003 (76th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=76&view=3-Award%20Category-Chron","Sean Penn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9091&view=1-Nominee-Alpha","Mystic River","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4244&view=2-Film%20Title-Alpha"
"2004 (77th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=77&view=3-Award%20Category-Chron","Jamie Foxx","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9201&view=1-Nominee-Alpha","Ray","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4035&view=2-Film%20Title-Alpha"
"2005 (78th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=78&view=3-Award%20Category-Chron","Philip Seymour Hoffman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9326&view=1-Nominee-Alpha","Capote","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4134&view=2-Film%20Title-Alpha"
"2006 (79th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=79&view=3-Award%20Category-Chron","Forest Whitaker","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9459&view=1-Nominee-Alpha","The Last King of Scotland","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4109&view=2-Film%20Title-Alpha"
"2007 (80th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=80&view=3-Award%20Category-Chron","Daniel Day-Lewis","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9586&view=1-Nominee-Alpha","There Will Be Blood","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4332&view=2-Film%20Title-Alpha"
"2008 (81st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=81&view=3-Award%20Category-Chron","Sean Penn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9714&view=1-Nominee-Alpha","Milk","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4055&view=2-Film%20Title-Alpha"
"2009 (82nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=82&view=3-Award%20Category-Chron","Jeff Bridges","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9830&view=1-Nominee-Alpha","Crazy Heart","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4345&view=2-Film%20Title-Alpha"
"2010 (83rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=83&view=3-Award%20Category-Chron","Colin Firth","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9973&view=1-Nominee-Alpha","The King's Speech","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4407&view=2-Film%20Title-Alpha"
"2011 (84th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=84&view=3-Award%20Category-Chron","Jean Dujardin","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10107&view=1-Nominee-Alpha","The Artist","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4437&view=2-Film%20Title-Alpha"
"2012 (85th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=85&view=3-Award%20Category-Chron","Daniel Day-Lewis","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10238&view=1-Nominee-Alpha","Lincoln","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4552&view=2-Film%20Title-Alpha"
"2013 (86th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=86&view=3-Award%20Category-Chron","Matthew McConaughey","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10377&view=1-Nominee-Alpha","Dallas Buyers Club","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4576&view=2-Film%20Title-Alpha"
"2014 (87th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=87&view=3-Award%20Category-Chron","Eddie Redmayne","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10524&view=1-Nominee-Alpha","The Theory of Everything","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4644&view=2-Film%20Title-Alpha"
"2015 (88th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=88&view=3-Award%20Category-Chron","Leonardo DiCaprio","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10669&view=1-Nominee-Alpha","The Revenant","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4689&view=2-Film%20Title-Alpha"
"2016 (89th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=89&view=3-Award%20Category-Chron","Casey Affleck","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10910&view=1-Nominee-Alpha","Manchester by the Sea","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4753&view=2-Film%20Title-Alpha"
"2017 (90th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=90&view=3-Award%20Category-Chron","Gary Oldman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10982&view=1-Nominee-Alpha","Darkest Hour","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4792&view=2-Film%20Title-Alpha"
