"best_actor_year","best_actor_url","best_actor_name","best_actor_name_url"
"1956 (29th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=29&view=3-Award%20Category-Chron","Yul Brynner","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3095&view=1-Nominee-Alpha"
"1957 (30th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=30&view=3-Award%20Category-Chron","Alec Guinness","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3225&view=1-Nominee-Alpha"
"1958 (31st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=31&view=3-Award%20Category-Chron","David Niven","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3324&view=1-Nominee-Alpha"
"1959 (32nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=32&view=3-Award%20Category-Chron","Charlton Heston","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3433&view=1-Nominee-Alpha"
"1960 (33rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=33&view=3-Award%20Category-Chron","Burt Lancaster","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3553&view=1-Nominee-Alpha"
"1961 (34th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=34&view=3-Award%20Category-Chron","Maximilian Schell","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3675&view=1-Nominee-Alpha"
"1962 (35th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=35&view=3-Award%20Category-Chron","Gregory Peck","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3801&view=1-Nominee-Alpha"
"1963 (36th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=36&view=3-Award%20Category-Chron","Sidney Poitier","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3919&view=1-Nominee-Alpha"
"1964 (37th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=37&view=3-Award%20Category-Chron","Rex Harrison","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4036&view=1-Nominee-Alpha"
"1965 (38th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=38&view=3-Award%20Category-Chron","Lee Marvin","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4162&view=1-Nominee-Alpha"
"1966 (39th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=39&view=3-Award%20Category-Chron","Paul Scofield","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4287&view=1-Nominee-Alpha"
"1967 (40th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=40&view=3-Award%20Category-Chron","Rod Steiger","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4410&view=1-Nominee-Alpha"
"1968 (41st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=41&view=3-Award%20Category-Chron","Cliff Robertson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4519&view=1-Nominee-Alpha"
"1969 (42nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=42&view=3-Award%20Category-Chron","John Wayne","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4633&view=1-Nominee-Alpha"
"1970 (43rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=43&view=3-Award%20Category-Chron","George C. Scott","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4740&view=1-Nominee-Alpha"
"1971 (44th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=44&view=3-Award%20Category-Chron","Gene Hackman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4843&view=1-Nominee-Alpha"
"1972 (45th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=45&view=3-Award%20Category-Chron","Marlon Brando","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4947&view=1-Nominee-Alpha"
"1973 (46th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=46&view=3-Award%20Category-Chron","Jack Lemmon","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5055&view=1-Nominee-Alpha"
"1974 (47th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=47&view=3-Award%20Category-Chron","Art Carney","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5158&view=1-Nominee-Alpha"
"1975 (48th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=48&view=3-Award%20Category-Chron","Jack Nicholson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5268&view=1-Nominee-Alpha"
"1976 (49th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=49&view=3-Award%20Category-Chron","Peter Finch","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5379&view=1-Nominee-Alpha"
"1977 (50th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=50&view=3-Award%20Category-Chron","Richard Dreyfuss","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5486&view=1-Nominee-Alpha"
"1978 (51st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=51&view=3-Award%20Category-Chron","Jon Voight","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5607&view=1-Nominee-Alpha"
"1979 (52nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=52&view=3-Award%20Category-Chron","Dustin Hoffman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5717&view=1-Nominee-Alpha"
"1980 (53rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=53&view=3-Award%20Category-Chron","Robert De Niro","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5836&view=1-Nominee-Alpha"
"1981 (54th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=54&view=3-Award%20Category-Chron","Henry Fonda","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5944&view=1-Nominee-Alpha"
"1982 (55th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=55&view=3-Award%20Category-Chron","Ben Kingsley","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6097&view=1-Nominee-Alpha"
"1983 (56th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=56&view=3-Award%20Category-Chron","Robert Duvall","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6217&view=1-Nominee-Alpha"
"1984 (57th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=57&view=3-Award%20Category-Chron","F. Murray Abraham","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6324&view=1-Nominee-Alpha"
"1985 (58th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=58&view=3-Award%20Category-Chron","William Hurt","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6530&view=1-Nominee-Alpha"
"1986 (59th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=59&view=3-Award%20Category-Chron","Paul Newman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6641&view=1-Nominee-Alpha"
"1987 (60th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=60&view=3-Award%20Category-Chron","Michael Douglas","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6715&view=1-Nominee-Alpha"
"1988 (61st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=61&view=3-Award%20Category-Chron","Dustin Hoffman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6846&view=1-Nominee-Alpha"
"1989 (62nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=62&view=3-Award%20Category-Chron","Daniel Day Lewis","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6988&view=1-Nominee-Alpha"
"1990 (63rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=63&view=3-Award%20Category-Chron","Jeremy Irons","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7095&view=1-Nominee-Alpha"
"1991 (64th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=64&view=3-Award%20Category-Chron","Anthony Hopkins","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7212&view=1-Nominee-Alpha"
"1992 (65th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=65&view=3-Award%20Category-Chron","Al Pacino","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7256&view=1-Nominee-Alpha"
"1993 (66th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=66&view=3-Award%20Category-Chron","Tom Hanks","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7381&view=1-Nominee-Alpha"
"1994 (67th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=67&view=3-Award%20Category-Chron","Tom Hanks","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7521&view=1-Nominee-Alpha"
"1995 (68th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=68&view=3-Award%20Category-Chron","Nicolas Cage","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7628&view=1-Nominee-Alpha"
"1996 (69th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=69&view=3-Award%20Category-Chron","Geoffrey Rush","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7766&view=1-Nominee-Alpha"
"1997 (70th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=70&view=3-Award%20Category-Chron","Jack Nicholson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7892&view=1-Nominee-Alpha"
"1998 (71st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=71&view=3-Award%20Category-Chron","Roberto Benigni","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8020&view=1-Nominee-Alpha"
"1999 (72nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=72&view=3-Award%20Category-Chron","Kevin Spacey","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8168&view=1-Nominee-Alpha"
"2000 (73rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=73&view=3-Award%20Category-Chron","Russell Crowe","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8287&view=1-Nominee-Alpha"
"2001 (74th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=74&view=3-Award%20Category-Chron","Denzel Washington","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8833&view=1-Nominee-Alpha"
"2002 (75th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=75&view=3-Award%20Category-Chron","Adrien Brody","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8962&view=1-Nominee-Alpha"
"2003 (76th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=76&view=3-Award%20Category-Chron","Sean Penn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9091&view=1-Nominee-Alpha"
"2004 (77th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=77&view=3-Award%20Category-Chron","Jamie Foxx","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9201&view=1-Nominee-Alpha"
"2005 (78th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=78&view=3-Award%20Category-Chron","Philip Seymour Hoffman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9326&view=1-Nominee-Alpha"
"2006 (79th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=79&view=3-Award%20Category-Chron","Forest Whitaker","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9459&view=1-Nominee-Alpha"
"2007 (80th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=80&view=3-Award%20Category-Chron","Daniel Day-Lewis","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9586&view=1-Nominee-Alpha"
"2008 (81st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=81&view=3-Award%20Category-Chron","Sean Penn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9714&view=1-Nominee-Alpha"
"2009 (82nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=82&view=3-Award%20Category-Chron","Jeff Bridges","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9830&view=1-Nominee-Alpha"
"2010 (83rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=83&view=3-Award%20Category-Chron","Colin Firth","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9973&view=1-Nominee-Alpha"
"2011 (84th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=84&view=3-Award%20Category-Chron","Jean Dujardin","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10107&view=1-Nominee-Alpha"
"2012 (85th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=85&view=3-Award%20Category-Chron","Daniel Day-Lewis","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10238&view=1-Nominee-Alpha"
"2013 (86th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=86&view=3-Award%20Category-Chron","Matthew McConaughey","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10377&view=1-Nominee-Alpha"
"2014 (87th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=87&view=3-Award%20Category-Chron","Eddie Redmayne","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10524&view=1-Nominee-Alpha"
"2015 (88th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=88&view=3-Award%20Category-Chron","Leonardo DiCaprio","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10669&view=1-Nominee-Alpha"
"2016 (89th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=89&view=3-Award%20Category-Chron","Casey Affleck","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10910&view=1-Nominee-Alpha"
"2017 (90th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=90&view=3-Award%20Category-Chron","Gary Oldman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10982&view=1-Nominee-Alpha"
