"best_actress_year","best_actress_url","best_actress_name","best_actress_name_url","best_actress_film_name","best_actress_film_url"
"2007 (80th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=80&view=3-Award%20Category-Chron","Marion Cotillard","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9597&view=1-Nominee-Alpha","La Vie en Rose","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4315&view=2-Film%20Title-Alpha"
"2008 (81st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=81&view=3-Award%20Category-Chron","Kate Winslet","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9726&view=1-Nominee-Alpha","The Reader","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4278&view=2-Film%20Title-Alpha"
"2009 (82nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=82&view=3-Award%20Category-Chron","Sandra Bullock","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9840&view=1-Nominee-Alpha","The Blind Side","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4338&view=2-Film%20Title-Alpha"
"2010 (83rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=83&view=3-Award%20Category-Chron","Natalie Portman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9983&view=1-Nominee-Alpha","Black Swan","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4366&view=2-Film%20Title-Alpha"
"2011 (84th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=84&view=3-Award%20Category-Chron","Meryl Streep","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10118&view=1-Nominee-Alpha","The Iron Lady","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4461&view=2-Film%20Title-Alpha"
"2012 (85th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=85&view=3-Award%20Category-Chron","Jennifer Lawrence","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10248&view=1-Nominee-Alpha","Silver Linings Playbook","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4569&view=2-Film%20Title-Alpha"
"2013 (86th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=86&view=3-Award%20Category-Chron","Cate Blanchett","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10384&view=1-Nominee-Alpha","Blue Jasmine","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4520&view=2-Film%20Title-Alpha"
"2014 (87th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=87&view=3-Award%20Category-Chron","Julianne Moore","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10532&view=1-Nominee-Alpha","Still Alice","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4641&view=2-Film%20Title-Alpha"
"2015 (88th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=88&view=3-Award%20Category-Chron","Brie Larson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10678&view=1-Nominee-Alpha","Room","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4690&view=2-Film%20Title-Alpha"
"2016 (89th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=89&view=3-Award%20Category-Chron","Emma Stone","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10891&view=1-Nominee-Alpha","La La Land","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4746&view=2-Film%20Title-Alpha"
"2017 (90th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=90&view=3-Award%20Category-Chron","Frances McDormand","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=10980&view=1-Nominee-Alpha","Three Billboards Outside Ebbing, Missouri","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4835&view=2-Film%20Title-Alpha"
