"best_actress_year","best_actress_url","best_actress_name","best_actress_name_url","best_actress_film_name","best_actress_film_url"
"1944 (17th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=17&view=3-Award%20Category-Chron","Ingrid Bergman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1603&view=1-Nominee-Alpha","Gaslight","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1736&view=2-Film%20Title-Alpha"
"1945 (18th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=18&view=3-Award%20Category-Chron","Joan Crawford","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1772&view=1-Nominee-Alpha","Mildred Pierce","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1831&view=2-Film%20Title-Alpha"
"1946 (19th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=19&view=3-Award%20Category-Chron","Olivia de Havilland","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1919&view=1-Nominee-Alpha","To Each His Own","http://awardsdatabase.oscars.org/Search/Nominations?filmId=135&view=2-Film%20Title-Alpha"
"1947 (20th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=20&view=3-Award%20Category-Chron","Loretta Young","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2031&view=1-Nominee-Alpha","The Farmer's Daughter","http://awardsdatabase.oscars.org/Search/Nominations?filmId=175&view=2-Film%20Title-Alpha"
"1948 (21st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=21&view=3-Award%20Category-Chron","Jane Wyman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2138&view=1-Nominee-Alpha","Johnny Belinda","http://awardsdatabase.oscars.org/Search/Nominations?filmId=670&view=2-Film%20Title-Alpha"
"1949 (22nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=22&view=3-Award%20Category-Chron","Olivia de Havilland","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2242&view=1-Nominee-Alpha","The Heiress","http://awardsdatabase.oscars.org/Search/Nominations?filmId=292&view=2-Film%20Title-Alpha"
"1950 (23rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=23&view=3-Award%20Category-Chron","Judy Holliday","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2358&view=1-Nominee-Alpha","Born Yesterday","http://awardsdatabase.oscars.org/Search/Nominations?filmId=411&view=2-Film%20Title-Alpha"
"1951 (24th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=24&view=3-Award%20Category-Chron","Vivien Leigh","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2467&view=1-Nominee-Alpha","A Streetcar Named Desire","http://awardsdatabase.oscars.org/Search/Nominations?filmId=457&view=2-Film%20Title-Alpha"
"1952 (25th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=25&view=3-Award%20Category-Chron","Shirley Booth","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2587&view=1-Nominee-Alpha","Come Back, Little Sheba","http://awardsdatabase.oscars.org/Search/Nominations?filmId=523&view=2-Film%20Title-Alpha"
"1953 (26th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=26&view=3-Award%20Category-Chron","Audrey Hepburn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2721&view=1-Nominee-Alpha","Roman Holiday","http://awardsdatabase.oscars.org/Search/Nominations?filmId=577&view=2-Film%20Title-Alpha"
"1954 (27th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=27&view=3-Award%20Category-Chron","Grace Kelly","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2850&view=1-Nominee-Alpha","The Country Girl","http://awardsdatabase.oscars.org/Search/Nominations?filmId=643&view=2-Film%20Title-Alpha"
"1955 (28th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=28&view=3-Award%20Category-Chron","Anna Magnani","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2982&view=1-Nominee-Alpha","The Rose Tattoo","http://awardsdatabase.oscars.org/Search/Nominations?filmId=383&view=2-Film%20Title-Alpha"
"1956 (29th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=29&view=3-Award%20Category-Chron","Ingrid Bergman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3106&view=1-Nominee-Alpha","Anastasia","http://awardsdatabase.oscars.org/Search/Nominations?filmId=816&view=2-Film%20Title-Alpha"
"1957 (30th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=30&view=3-Award%20Category-Chron","Joanne Woodward","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3237&view=1-Nominee-Alpha","The Three Faces of Eve","http://awardsdatabase.oscars.org/Search/Nominations?filmId=875&view=2-Film%20Title-Alpha"
"1958 (31st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=31&view=3-Award%20Category-Chron","Susan Hayward","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3332&view=1-Nominee-Alpha","I Want to Live!","http://awardsdatabase.oscars.org/Search/Nominations?filmId=43&view=2-Film%20Title-Alpha"
"1959 (32nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=32&view=3-Award%20Category-Chron","Simone Signoret","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3445&view=1-Nominee-Alpha","Room at the Top","http://awardsdatabase.oscars.org/Search/Nominations?filmId=252&view=2-Film%20Title-Alpha"
"1960 (33rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=33&view=3-Award%20Category-Chron","Elizabeth Taylor","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3566&view=1-Nominee-Alpha","Butterfield 8","http://awardsdatabase.oscars.org/Search/Nominations?filmId=93&view=2-Film%20Title-Alpha"
"1961 (34th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=34&view=3-Award%20Category-Chron","Sophia Loren","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3685&view=1-Nominee-Alpha","Two Women","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3109&view=2-Film%20Title-Alpha"
"1962 (35th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=35&view=3-Award%20Category-Chron","Anne Bancroft","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3807&view=1-Nominee-Alpha","The Miracle Worker","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2745&view=2-Film%20Title-Alpha"
"1963 (36th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=36&view=3-Award%20Category-Chron","Patricia Neal","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3927&view=1-Nominee-Alpha","Hud","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2846&view=2-Film%20Title-Alpha"
"1964 (37th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=37&view=3-Award%20Category-Chron","Julie Andrews","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4045&view=1-Nominee-Alpha","Mary Poppins","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2906&view=2-Film%20Title-Alpha"
